Category,Tertiary
Russian Federation (1),56.725521
Czech Republic,24.853664
Lithuania,44.13818
Poland,32.875156
Slovak Republic,26.773348
Canada,59.961113
United States,50.055275
Finland,47.874241
Estonia,42.209454
Slovenia,35.881027
Latvia,37.833885
Korea,50.708714
Switzerland,45.277538
Israel,50.12072
Germany,31.255043
Austria,34.205894
Hungary,27.203154
Ireland,49.943962
Sweden,44.608795
Australia,49.337452
EU22 average,37.129876
Norway,45.273285
United Kingdom ,49.39045
Denmark ,40.353836
France,39.717316
Netherlands,42.644951
New Zealand,40.121872
Belgium,42.442284
OECD average,38.596961
Greece,32.744011
Iceland,40.643898
Luxembourg,51.312302
Chile ,25.168179
Argentina,35.663551
Spain,39.68692
Italy,20.135509
Colombia,24.594643
Brazil ,20.136629
Saudi Arabia ,23.623922
Portugal,28.164339
South Africa,15.839705
Costa Rica,25.112001
Turkey ,21.951159
Mexico,19.432951
Indonesia,12.792151
China ,9.6811743
India ,12.368952
